	31867.fastq.gz.keep.blast8	32002.fastq.gz.keep.blast8	32006.fastq.gz.keep.blast8	32018.fastq.gz.keep.blast8	32025.fastq.gz.keep.blast8	32027.fastq.gz.keep.blast8	32043.fastq.gz.keep.blast8	33312.fastq.gz.keep.blast8	33314.fastq.gz.keep.blast8	
700099803_302993_[cov=472.000000]_1_285_-	1	1	1	1	1	1	1	1	1	
700099803_319718_[cov=50.000000]_3036_5128_-	1	1	0	1	1	1	1	1	1	
700100600_209939_[cov=12.000000]_219_2718_+	0	1	1	0	0	1	1	0	0	
700109242_149425_[cov=10.000000]_1_1699_-	0	0	1	0	1	0	1	1	0	
700099803_321874_[cov=24.000000]_16325_18494_+	0	1	0	0	0	1	0	0	1	
700109242_129230_[cov=4.000000]_1_2280_+	0	0	1	0	1	0	0	1	0	
700099803_262620_[cov=5.000000]_41_3138_+	0	1	0	0	0	0	0	0	0	
700109242_196316_[cov=6.000000]_411_2555_-	0	0	1	0	1	0	1	1	0	
700099803_260825_[cov=8.000000]_1_2522_+	1	1	0	0	1	1	0	0	1	
700099803_292849_[cov=10.000000]_1_8205_-	1	1	0	1	0	1	0	0	0	
700099803_278050_[cov=6.000000]_1_2236_+	0	1	0	1	1	1	0	0	1	
700099803_319787_[cov=10.000000]_1521_4814_-	1	1	0	0	0	1	0	0	1	
700100600_218120_[cov=24.000000]_1_2937_+	1	1	0	1	0	1	0	0	1	
700099803_312684_[cov=9.000000]_2232_4866_+	1	1	0	0	0	1	0	0	0	
700109242_137787_[cov=4.000000]_522_1231_+	0	0	0	0	1	0	0	1	0	
700100600_213176_[cov=8.000000]_1_2098_+	1	1	0	1	0	1	0	0	1	
700099803_171609_[cov=1.000000]_1_616_+	0	0	1	0	0	1	0	0	0	
700109242_172003_[cov=3.000000]_722_3352_-	0	0	1	1	1	1	1	1	0	
700100600_204646_[cov=10.000000]_1_3488_+	1	1	0	1	1	1	0	0	1	
700099803_296868_[cov=10.000000]_13_10553_-	0	1	1	0	1	1	1	0	0	
700109242_147714_[cov=3.000000]_1_5225_+	0	1	0	0	1	0	0	1	0	
700109242_181355_[cov=13.000000]_1_2100_+	1	1	1	0	1	0	1	1	0	
700099803_285687_[cov=10.000000]_2846_5434_+	0	1	1	0	0	1	0	0	0	
700109242_170368_[cov=11.000000]_1_2420_+	0	1	1	0	1	0	1	1	1	
700100600_215055_[cov=24.000000]_779_2794_-	1	1	1	0	1	1	1	1	0	
700100600_205777_[cov=6.000000]_395_3125_+	0	1	1	1	0	1	1	1	0	
700100600_221906_[cov=106.000000]_344_2010_+	0	1	0	1	0	1	0	0	0	
700099803_275196_[cov=7.000000]_1613_4190_-	0	1	0	1	0	1	0	0	1	
700109242_201562_[cov=12.000000]_7710_9775_-	0	0	0	0	1	0	0	0	0	
700100600_180981_[cov=10.000000]_1_1230_+	0	1	0	1	0	1	0	0	0	
700109242_183984_[cov=26.000000]_3064_5845_+	1	1	1	1	1	1	1	1	1	
700100600_219996_[cov=57.000000]_1750_2792_+	0	0	0	0	0	0	0	0	0	
700100600_213712_[cov=43.000000]_1_1495_+	1	1	1	1	1	1	1	1	1	
700109242_173128_[cov=17.000000]_501_3173_+	0	0	1	0	1	0	1	1	0	
700109242_161035_[cov=11.000000]_1_2521_+	0	0	0	1	0	1	1	0	0	
700100600_222030_[cov=18.000000]_1141_3858_+	1	0	1	1	0	1	1	0	0	
700100600_224069_[cov=28.000000]_1697_2088_-	0	0	0	0	0	1	0	0	0	
700109242_200899_[cov=19.000000]_2538_8431_-	1	1	1	1	0	0	1	1	0	
700099803_239010_[cov=9.000000]_1_683_-	0	0	0	0	0	1	0	0	0	
700099803_194993_[cov=2.000000]_1_699_+	0	1	0	0	0	0	0	0	0	
700100600_223662_[cov=36.000000]_1_2363_-	0	1	0	0	0	0	0	0	1	
700099803_317521_[cov=22.000000]_12153_14530_+	0	1	1	0	1	1	1	1	0	
700099803_292157_[cov=38.000000]_630_3913_+	0	0	0	0	0	0	0	1	0	
700099803_316915_[cov=31.000000]_2046_4618_+	1	1	0	1	0	1	0	0	1	
700109242_183910_[cov=15.000000]_3107_6761_-	0	0	1	0	1	1	1	1	0	
700099803_266771_[cov=8.000000]_1_2921_+	0	1	0	0	0	1	0	0	1	
700100600_135367_[cov=6.000000]_1_1112_+	0	1	0	0	0	1	0	0	1	
700100600_99097_[cov=4.000000]_1_450_+	0	1	0	0	0	1	0	0	0	
700099803_303844_[cov=12.000000]_1_6617_+	0	1	1	0	1	1	1	0	1	
700099803_300130_[cov=9.000000]_1_2495_+	1	1	0	0	0	1	0	0	0	
700109242_193961_[cov=6.000000]_2848_5340_-	1	1	1	1	1	1	1	1	1	
700100600_190306_[cov=8.000000]_1_563_+	0	0	0	0	0	0	0	0	1	
700100600_134676_[cov=5.000000]_1_780_-	0	1	0	0	0	0	0	0	0	
700099803_275607_[cov=7.000000]_2579_3186_+	0	1	1	0	1	1	1	0	1	
700109242_164265_[cov=4.000000]_744_3672_+	1	1	1	0	1	0	1	1	1	
700099803_262070_[cov=4.000000]_1_1409_-	0	1	0	0	0	1	0	0	0	
700100600_171186_[cov=5.000000]_1_1842_+	1	1	1	1	1	1	0	0	1	
700100600_109151_[cov=5.000000]_1_668_+	1	1	0	0	1	0	0	0	1	
700099803_285259_[cov=8.000000]_1615_5410_+	0	1	0	0	0	1	0	0	0	
700100600_147909_[cov=7.000000]_1_613_-	1	1	1	1	1	1	1	1	1	
700099803_260214_[cov=5.000000]_1_3325_-	0	1	0	0	0	0	1	0	0	
700099803_181250_[cov=1.000000]_310_528_+	0	1	0	0	0	0	0	0	0	
700100600_210509_[cov=8.000000]_1_1121_+	0	0	0	0	0	1	0	0	0	
700100600_172254_[cov=8.000000]_1_1092_+	1	1	0	1	0	1	0	1	1	
700100600_176247_[cov=3.000000]_1_1157_+	0	1	0	0	1	1	0	0	1	
700109242_116704_[cov=4.000000]_1_798_+	0	0	0	0	1	0	1	0	0	
700109242_129226_[cov=2.000000]_1_3206_+	0	0	0	0	0	0	0	1	0	
700099803_229440_[cov=11.000000]_1_398_+	0	1	0	0	0	1	0	0	1	
700100600_222350_[cov=43.000000]_1_1726_+	1	1	1	1	1	1	1	1	1	
700099803_292494_[cov=18.000000]_444_2173_-	1	1	1	1	1	1	1	1	1	
700099803_299286_[cov=8.000000]_1_3168_+	0	1	1	1	1	1	1	1	1	
700109242_109906_[cov=2.000000]_1_1258_-	0	1	0	0	1	0	0	0	1	
700100600_125958_[cov=4.000000]_1_984_-	0	1	0	0	0	0	0	0	0	
700100600_202328_[cov=7.000000]_1433_3535_-	0	1	1	0	1	1	1	0	1	
700099803_225354_[cov=4.000000]_1_621_-	0	1	0	0	0	1	0	0	1	
700109242_157478_[cov=15.000000]_1_2488_-	0	1	1	0	0	0	1	0	0	
700099803_322081_[cov=7.000000]_1_2164_-	1	1	0	0	0	1	0	0	0	
700099803_239554_[cov=7.000000]_1_1381_+	0	0	0	0	0	0	0	0	0	
700109242_180669_[cov=4.000000]_1_2536_+	1	1	1	1	1	1	1	1	1	
700100600_128532_[cov=6.000000]_1_568_-	0	1	0	0	0	0	0	0	0	
700100600_173831_[cov=7.000000]_1_1357_+	0	1	0	1	0	1	0	0	1	
700099803_294489_[cov=19.000000]_1_4617_+	0	1	0	0	1	1	0	0	1	
700099803_284051_[cov=290.000000]_184_2195_+	1	1	0	1	0	1	0	0	1	
700100600_195203_[cov=3.000000]_1_978_+	1	1	1	1	0	1	0	0	1	
700099803_303839_[cov=8.000000]_34_1961_-	0	1	1	0	0	1	1	1	1	
700109242_186173_[cov=74.000000]_32_3150_+	1	0	0	1	1	0	1	0	1	
700099803_282814_[cov=6.000000]_3557_6072_+	1	1	1	0	1	1	0	1	1	
700100600_184680_[cov=7.000000]_1_1367_-	0	1	0	0	1	1	0	0	1	
700109242_157270_[cov=7.000000]_1_3206_-	1	1	1	1	1	0	1	0	0	
700100600_217926_[cov=10.000000]_1_5909_+	0	1	1	0	1	1	1	1	0	
700099803_254982_[cov=6.000000]_1_2302_-	0	1	1	0	1	1	1	0	0	
700100600_220675_[cov=26.000000]_185_2651_+	0	0	0	0	0	0	0	0	0	
700100600_213487_[cov=8.000000]_878_1914_-	0	1	0	0	1	1	1	0	0	
700099803_266169_[cov=6.000000]_1065_2841_+	0	0	0	1	0	0	0	0	0	
700099803_294521_[cov=8.000000]_3009_4342_+	0	1	0	0	0	0	0	0	0	
700099803_284323_[cov=7.000000]_1_5877_-	1	1	1	1	1	1	1	1	1	
700099803_297334_[cov=10.000000]_3860_6258_-	1	1	0	1	1	1	1	0	1	
700099803_300806_[cov=9.000000]_4316_7796_-	1	1	0	1	0	0	1	0	1	
700099803_35994_[cov=2.000000]_1_287_-	1	1	1	1	0	1	1	1	1	
700100600_170363_[cov=7.000000]_162_976_-	0	1	0	1	0	0	0	0	0	
700109242_186866_[cov=15.000000]_288_2833_+	0	0	1	0	1	0	1	1	0	
700099803_280001_[cov=7.000000]_270_4765_+	0	1	1	1	1	1	1	1	1	
700100600_199247_[cov=8.000000]_1_3277_-	1	1	1	0	1	1	0	0	0	
700109242_205999_[cov=17.000000]_1744_5709_-	0	0	1	0	0	0	1	1	0	
700099803_279081_[cov=35.000000]_212_2144_-	0	1	0	0	1	1	0	0	1	
700100600_221651_[cov=19.000000]_1_892_+	1	1	0	0	0	1	0	0	0	
700099803_302327_[cov=9.000000]_18_2340_-	0	0	0	0	0	1	0	0	0	
700099803_279046_[cov=7.000000]_1_2559_+	0	1	0	0	0	1	1	0	1	
700100600_220733_[cov=16.000000]_660_2730_+	0	1	0	0	0	0	0	0	0	
700100600_151679_[cov=7.000000]_1_711_+	0	1	1	0	1	0	1	1	0	
700099803_309325_[cov=67.000000]_6869_12738_+	1	1	1	1	0	1	0	0	0	
700109242_aa90_1.4051	1	1	1	0	1	1	1	1	1	
700099803_282134_[cov=18.000000]_1338_2389_+	0	1	0	0	0	1	0	0	1	
700100600_50974_[cov=3.000000]_1_305_-	0	1	0	1	0	0	0	0	1	
700109242_168409_[cov=225.000000]_858_1513_-	1	1	1	0	1	0	1	1	0	
700099803_278913_[cov=8.000000]_487_3947_-	1	1	1	1	1	1	1	1	1	
700100600_127945_[cov=3.000000]_1_732_-	1	1	1	1	1	1	1	1	1	
700109242_195656_[cov=3.000000]_842_3201_+	0	1	1	0	1	0	1	1	0	
700099803_303352_[cov=7.000000]_1_3050_+	1	1	0	1	0	1	0	0	0	
700100600_212330_[cov=9.000000]_1_2705_+	1	0	0	0	0	0	0	1	0	
700109242_175978_[cov=17.000000]_986_3817_-	0	1	1	0	1	0	1	0	0	
700099803_309701_[cov=25.000000]_8093_8501_+	1	1	0	1	0	1	0	0	1	
700099803_aa90_1.4105	0	1	0	0	0	1	1	0	0	
700109242_202514_[cov=18.000000]_1073_2800_-	1	0	1	0	1	0	1	1	0	
700100600_163037_[cov=10.000000]_1_887_-	0	0	0	0	1	0	0	0	0	
700099803_290625_[cov=23.000000]_1_3987_-	1	1	0	0	0	1	0	0	1	
700100600_115668_[cov=2.000000]_26_555_-	0	1	1	0	1	1	1	1	1	
700099803_212020_[cov=4.000000]_1_1065_+	1	1	1	1	0	1	1	0	1	
700099803_271129_[cov=6.000000]_1_3550_-	1	1	1	1	1	1	1	1	1	
700100600_196327_[cov=11.000000]_1_2050_+	1	1	1	1	1	1	1	1	1	
700100600_207405_[cov=8.000000]_73_3562_+	0	1	0	1	0	0	0	0	1	
700099803_234816_[cov=4.000000]_1_774_+	0	1	1	1	0	1	1	1	1	
700100600_220455_[cov=30.000000]_1_2355_+	0	1	0	0	0	0	1	1	0	
700100600_85279_[cov=3.000000]_1_709_+	0	1	0	0	0	1	0	0	1	
700109242_181399_[cov=18.000000]_933_3088_+	0	0	1	0	0	0	1	0	0	
700099803_285828_[cov=8.000000]_1_2178_+	0	1	0	0	1	1	0	1	1	
700099803_266591_[cov=6.000000]_1_2583_+	1	1	1	0	0	1	1	0	0	
700099803_317727_[cov=18.000000]_16656_19080_+	0	1	1	1	1	1	1	0	0	
700109242_90475_[cov=2.000000]_1_1263_+	0	0	1	0	0	0	1	1	0	
700099803_247985_[cov=4.000000]_1_1214_+	0	1	0	0	0	0	0	0	0	
700100600_186635_[cov=9.000000]_1_948_+	0	1	0	0	0	1	0	0	0	
700099803_278925_[cov=6.000000]_1_5439_-	0	1	1	0	0	1	0	0	1	
700109242_183788_[cov=17.000000]_677_2835_-	0	0	1	1	0	0	1	0	0	
700109242_181342_[cov=30.000000]_32_3359_+	0	0	1	0	0	0	1	1	1	
700109242_190753_[cov=17.000000]_1_11007_-	1	1	1	0	1	0	1	1	0	
700109242_90928_[cov=1.000000]_790_1421_+	0	1	1	0	1	0	1	1	0	
700099803_282502_[cov=15.000000]_1_2233_+	0	0	1	0	1	1	1	0	0	
700109242_163830_[cov=8.000000]_145_2265_+	0	1	1	0	1	1	1	1	0	
700109242_105051_[cov=2.000000]_1_2022_-	0	1	1	0	1	1	1	1	1	
700099803_282528_[cov=7.000000]_1_1628_+	1	1	0	0	0	1	0	0	1	
700099803_271980_[cov=7.000000]_1_2290_+	1	1	1	1	1	1	0	0	1	
700099803_302303_[cov=22.000000]_1_2652_-	0	1	0	1	0	1	0	0	1	
700099803_263157_[cov=6.000000]_1_2798_+	0	0	0	0	1	1	0	0	1	
700099803_297425_[cov=9.000000]_186_9106_-	0	1	0	1	0	1	1	1	1	
700109242_157613_[cov=4.000000]_1_2220_+	0	0	1	0	1	0	1	1	0	
700100600_98682_[cov=3.000000]_1_492_+	0	0	0	0	0	0	0	0	1	
700099803_287849_[cov=10.000000]_1_2665_+	1	1	0	1	0	1	0	0	1	
700100600_182777_[cov=8.000000]_1_2172_+	0	1	0	0	1	0	1	0	0	
700099803_256020_[cov=5.000000]_1_2255_+	0	1	0	0	0	0	0	0	0	
700100600_183314_[cov=5.000000]_219_2286_+	1	1	0	0	0	1	0	0	0	
700109242_201524_[cov=5.000000]_21056_21655_+	0	0	1	0	1	0	1	1	0	
700099803_266889_[cov=9.000000]_291_1217_+	1	1	0	1	0	1	0	0	1	
700109242_190652_[cov=23.000000]_6473_9859_+	0	0	1	0	0	0	1	1	0	
700100600_194713_[cov=9.000000]_21_720_-	0	1	0	0	0	1	0	0	0	
700100600_196071_[cov=4.000000]_186_1614_+	1	1	0	1	0	1	0	0	0	
700099803_239104_[cov=7.000000]_683_1013_+	0	1	0	0	0	1	0	0	0	
700099803_276541_[cov=10.000000]_1_3100_+	0	1	1	0	0	1	0	1	1	
700099803_228622_[cov=6.000000]_1_709_-	0	1	0	0	0	1	0	0	1	
700099803_196583_[cov=4.000000]_68_626_-	0	1	1	0	1	1	1	1	1	
700109242_195283_[cov=16.000000]_1_2273_-	0	1	1	1	1	1	1	1	1	
700109242_170662_[cov=16.000000]_1_2605_-	0	0	1	1	1	1	1	1	0	
700099803_287372_[cov=7.000000]_20_2775_+	0	1	0	1	0	1	0	0	1	
700099803_285828_[cov=8.000000]_2259_4459_+	0	1	0	0	0	1	0	0	0	
700109242_204569_[cov=16.000000]_2867_5575_-	0	1	1	0	1	1	1	1	1	
700099803_aa90_1.13081	1	1	0	1	0	1	0	0	1	
700099803_283162_[cov=32.000000]_119_2282_-	1	0	0	1	0	0	0	0	0	
700100600_115084_[cov=6.000000]_1_780_-	1	1	0	1	0	0	0	0	0	
700100600_166131_[cov=3.000000]_1_1224_+	0	1	0	0	0	0	0	0	0	
700109242_162229_[cov=18.000000]_1_967_+	0	0	0	0	1	0	0	0	0	
700109242_193009_[cov=9.000000]_7632_11322_-	0	0	1	1	1	0	1	1	0	
700100600_187321_[cov=6.000000]_1_2065_+	1	1	1	0	1	1	1	1	1	
700100600_110037_[cov=5.000000]_1_974_-	0	1	0	1	0	0	0	0	1	
700109242_206020_[cov=22.000000]_6455_8682_-	1	0	1	0	1	1	1	0	0	
700099803_289434_[cov=16.000000]_1947_5169_-	0	1	1	0	1	1	1	0	0	
700100600_190518_[cov=9.000000]_1_2345_-	0	1	0	0	0	0	0	0	1	
700099803_117232_[cov=3.000000]_1_228_+	0	0	1	0	1	1	1	1	1	
700109242_203737_[cov=13.000000]_8839_14465_-	1	1	1	0	0	1	1	0	1	
700109242_112394_[cov=2.000000]_1_2483_-	0	0	1	0	0	1	1	1	0	
700099803_211871_[cov=3.000000]_1_859_-	1	1	0	1	1	1	0	0	0	
700100600_71961_[cov=1.000000]_1_505_-	0	1	0	0	0	0	0	0	0	
700099803_312372_[cov=10.000000]_5941_8163_+	1	1	0	1	1	1	0	0	1	
700099803_224246_[cov=3.000000]_1_874_-	0	0	0	0	0	0	0	0	0	
700099803_230184_[cov=5.000000]_1_1099_-	1	1	0	1	0	1	0	0	1	
700099803_282548_[cov=16.000000]_1317_3448_+	0	1	1	0	0	1	1	0	1	
700099803_244682_[cov=5.000000]_24_2335_-	0	1	1	0	1	1	1	1	0	
700100600_109896_[cov=4.000000]_1_666_+	0	0	0	0	0	1	0	0	0	
700109242_157250_[cov=7.000000]_1_3342_+	0	1	1	0	1	0	1	1	1	
700099803_229674_[cov=4.000000]_1_1246_-	0	1	0	0	0	1	0	0	0	
700099803_aa90_1.22328	0	0	0	0	0	0	0	0	0	
700109242_128874_[cov=3.000000]_569_2255_+	0	0	0	0	0	0	0	0	0	
700099803_122168_[cov=3.000000]_1_348_+	1	1	1	1	1	1	1	1	1	
700099803_279012_[cov=8.000000]_1_4503_+	0	0	1	1	0	0	0	0	0	
700109242_176142_[cov=19.000000]_1_4104_+	0	1	1	0	0	0	1	0	1	
700100600_206001_[cov=8.000000]_1633_4014_+	1	0	0	0	0	1	1	0	0	
700099803_aa90_1.8469	0	0	0	0	0	0	0	0	0	
700100600_185796_[cov=7.000000]_1_1024_-	0	0	0	0	0	0	0	0	0	
700100600_212121_[cov=9.000000]_1604_3902_-	0	1	0	0	0	0	0	0	0	
700100600_191680_[cov=8.000000]_1_2162_-	0	1	1	1	1	1	1	1	1	
700099803_aa90_1.2154	0	0	1	1	0	1	0	0	1	
700099803_313658_[cov=16.000000]_1334_1907_+	1	1	0	0	0	1	0	0	1	
700099803_296465_[cov=9.000000]_124_12816_-	0	1	1	0	1	1	0	0	1	
700099803_275785_[cov=10.000000]_1_2450_-	0	1	1	1	0	1	0	0	1	
700099803_278207_[cov=7.000000]_3195_4951_+	0	1	0	0	1	1	0	0	1	
700109242_190829_[cov=8.000000]_204_2791_+	0	1	1	1	1	1	1	1	1	
700099803_323659_[cov=11.000000]_6353_8873_+	0	1	1	1	0	1	0	0	1	
700100600_190769_[cov=9.000000]_398_2450_-	0	0	0	0	0	0	0	0	0	
700099803_246732_[cov=6.000000]_1_1233_+	0	1	0	0	0	0	0	0	1	
700099803_279056_[cov=8.000000]_1642_4088_-	0	1	0	0	0	0	0	0	0	
700099803_282576_[cov=10.000000]_2311_2972_+	1	1	0	0	0	1	0	0	1	
700100600_197338_[cov=5.000000]_1_2128_+	1	1	0	1	0	1	0	0	1	
700109242_199385_[cov=20.000000]_8549_12156_+	0	0	1	0	1	0	1	0	0	
700109242_176574_[cov=22.000000]_1_3285_-	0	1	1	0	0	1	1	1	1	
700099803_309621_[cov=9.000000]_291_1097_+	0	1	0	0	0	1	0	0	1	
700099803_307772_[cov=51.000000]_20755_23852_+	1	1	1	0	0	1	0	1	1	
700109242_195085_[cov=7.000000]_636_3062_+	0	0	1	0	1	0	1	1	0	
700100600_219653_[cov=8.000000]_1_779_+	1	1	0	0	0	1	0	0	0	
700100600_202013_[cov=8.000000]_1_2369_-	0	1	0	0	1	0	1	0	0	
700100600_211249_[cov=10.000000]_1_4553_-	0	0	0	0	0	0	0	0	0	
700099803_247877_[cov=5.000000]_197_763_-	0	1	0	1	0	1	0	0	1	
700100600_200272_[cov=7.000000]_1_2303_+	0	1	0	1	0	0	0	0	0	
700100600_199136_[cov=6.000000]_1_3053_+	0	1	0	0	0	1	0	0	0	
700109242_188847_[cov=23.000000]_1_3149_+	1	0	1	1	0	0	1	1	0	
700099803_309956_[cov=44.000000]_1361_3642_+	1	1	0	1	1	1	1	1	1	
700100600_195503_[cov=7.000000]_1_3324_+	0	1	1	0	0	1	1	0	1	
700099803_316685_[cov=46.000000]_1_6744_-	0	1	1	0	1	1	1	1	0	
700099803_277845_[cov=6.000000]_1_4184_-	0	1	0	1	1	1	0	0	1	
700109242_197287_[cov=19.000000]_5180_7484_+	0	0	1	0	0	0	1	1	1	
700100600_197720_[cov=7.000000]_1225_3805_+	1	1	0	0	0	0	0	1	0	
700099803_298355_[cov=11.000000]_1_12946_-	1	1	1	1	1	1	1	0	1	
700109242_174063_[cov=3.000000]_1_2442_+	0	0	1	0	1	0	1	1	0	
700099803_321890_[cov=127.000000]_1_2075_+	1	1	1	1	1	1	1	1	1	
700100600_220424_[cov=111.000000]_1_2636_-	1	1	0	1	1	1	0	0	1	
700099803_272064_[cov=6.000000]_1_2056_+	0	1	0	0	0	1	1	0	1	
700109242_186198_[cov=16.000000]_740_7351_+	1	1	1	0	1	1	1	1	0	
700109242_137142_[cov=3.000000]_1236_3519_+	0	0	0	0	0	0	1	0	0	
700099803_269898_[cov=8.000000]_109_2641_-	1	1	1	1	1	1	0	1	1	
700099803_216953_[cov=4.000000]_69_1297_+	0	1	0	0	0	1	0	0	0	
700099803_226892_[cov=4.000000]_37_756_-	0	1	0	0	0	1	0	0	0	
700100600_199253_[cov=8.000000]_328_3821_+	0	1	0	0	0	0	0	0	0	
700100600_215299_[cov=12.000000]_1_2614_-	0	1	0	0	0	0	0	0	0	
700100600_211142_[cov=10.000000]_205_1552_+	0	1	1	0	0	1	1	0	0	
700109242_80506_[cov=1.000000]_1_301_-	0	0	0	0	0	0	0	0	0	
700100600_189508_[cov=10.000000]_158_1130_+	1	1	1	1	1	1	1	0	1	
700099803_314352_[cov=6.000000]_203_2954_+	0	1	0	0	0	0	0	1	0	
700099803_297332_[cov=8.000000]_1_3588_-	1	1	1	0	0	1	1	0	0	
700099803_298682_[cov=54.000000]_1_2424_+	1	1	1	0	0	1	0	1	1	
700100600_221176_[cov=35.000000]_105_2263_+	0	1	0	0	1	0	0	0	0	
700099803_287866_[cov=21.000000]_1_2469_-	0	1	1	0	1	1	1	1	0	
700100600_192673_[cov=6.000000]_70_3102_+	1	1	0	1	0	1	1	0	1	
700099803_277808_[cov=6.000000]_2066_4990_-	1	1	1	1	0	1	1	0	1	
700099803_140264_[cov=4.000000]_1_382_-	0	0	0	0	0	0	0	0	0	
700099803_188806_[cov=3.000000]_1_341_-	0	1	0	0	0	0	1	0	0	
700099803_311522_[cov=9.000000]_2134_5286_-	1	1	0	1	0	1	1	0	1	
700100600_202275_[cov=9.000000]_1_2928_-	0	0	0	0	0	0	0	0	1	
700100600_196620_[cov=13.000000]_1_1518_-	0	0	0	0	0	0	0	0	0	
700100600_221452_[cov=10.000000]_123_3000_-	1	1	1	0	1	1	1	0	0	
700100600_209299_[cov=15.000000]_1_2128_-	1	1	1	1	1	1	1	1	1	
700099803_226352_[cov=3.000000]_51_991_+	0	1	0	1	0	1	0	0	0	
700100600_208226_[cov=30.000000]_1431_2229_+	0	0	1	0	1	1	0	0	0	
700099803_271115_[cov=6.000000]_390_2230_+	0	0	1	0	0	0	0	0	0	
700099803_303636_[cov=15.000000]_8384_10454_-	0	1	0	0	0	1	0	0	0	
700099803_303694_[cov=14.000000]_1_2434_-	0	0	0	1	1	1	0	0	0	
700109242_170085_[cov=16.000000]_183_4031_+	0	1	1	0	1	0	1	1	0	
700100600_210087_[cov=12.000000]_1_2816_+	1	1	0	0	1	1	0	0	0	
700109242_192921_[cov=9.000000]_7368_11503_-	0	1	1	0	1	1	1	1	0	
700099803_223713_[cov=3.000000]_1_738_-	0	1	0	1	1	1	1	0	1	
700099803_284525_[cov=7.000000]_3681_6169_-	1	1	1	1	1	1	1	1	1	
700109242_164023_[cov=4.000000]_1_1006_-	0	0	1	0	1	1	0	0	0	
700099803_294873_[cov=11.000000]_3408_8090_+	1	1	1	0	0	1	1	0	0	
700099803_282372_[cov=12.000000]_273_3786_+	1	1	1	1	1	1	0	0	1	
700100600_119775_[cov=3.000000]_1_981_-	0	1	0	0	0	0	0	0	0	
700100600_139250_[cov=5.000000]_1_1143_+	0	0	0	0	0	0	0	0	0	
700100600_218940_[cov=17.000000]_53_2821_-	1	1	1	1	0	1	0	0	1	
700109242_192796_[cov=18.000000]_1_3904_-	0	0	1	0	1	0	1	1	0	
700099803_290714_[cov=7.000000]_1_2114_+	0	1	0	1	0	1	1	0	0	
700109242_181711_[cov=12.000000]_1_2933_-	0	0	1	0	1	0	1	1	0	
700100600_223228_[cov=11.000000]_2889_5285_-	0	1	1	1	0	0	1	0	1	
700099803_304957_[cov=24.000000]_1_9470_+	0	1	1	1	1	1	1	1	1	
700099803_247683_[cov=8.000000]_1_1131_-	0	1	0	1	0	1	0	0	0	
700099803_254550_[cov=6.000000]_1_1646_-	1	1	0	0	1	0	1	1	0	
700100600_225528_[cov=8.000000]_1_2069_-	1	1	0	1	0	1	0	0	1	
700099803_90044_[cov=3.000000]_126_284_-	0	1	0	0	0	1	0	0	0	
